시도명,명칭,경도,위도
인천,대빈창,126.22844,37.646383
인천,동막,126.458791,37.592434
인천,민머루,126.333573,37.651038
인천,조개골,126.199815,37.658272
인천,구리동,125.685328,37.667963
인천,굴업도,125.978397,37.188376
인천,밧지름,126.140902,37.214958
인천,사곶,124.719328,37.950666
인천,사탄동,124.680342,37.815286
인천,서포리,126.11512,37.219677
인천,십리포,126.484695,37.281793
인천,옹암,126.373345,37.529708
인천,이일레,126.302059,37.165361
인천,작은풀안,126.257701,37.170857
인천,장경리,126.451235,37.274236
인천,장골,126.314272,37.249309
인천,모래울,124.6845497,37.8140086
인천,선녀바위,126.378505,37.439984
인천,실미,126.40299,37.403397
인천,왕산,126.369236,37.455571
인천,을왕리,126.372519,37.447293
인천,하나개,126.409295,37.385691
강원,강문,128.917591,37.796618
강원,경포,128.909962,37.803514
강원,사근진,128.898479,37.813114
강원,사천진,128.874214,37.842837
강원,송정,128.940386,37.778257
강원,안목,128.947272,37.773174
강원,연곡,128.854417,37.858578
강원,옥계,129.049433,37.628104
강원,정동진,129.034513,37.690865
강원,주문진,128.819143,37.911093
강원,하평,128.87004,37.846003
강원,금진,129.045026,37.636379
강원,남항진,128.954655,37.764479
강원,도직,129.068321,37.60957
강원,등명,129.016634,37.70465
강원,사천,128.878484,37.830015
강원,순긋,128.892978,37.817132
강원,안인,128.990137,37.734538
강원,염전,128.984172,37.741903
강원,영진,128.845203,37.869014
강원,명파,128.40612,38.543557
강원,백도,128.546495,38.300754
강원,봉수대,128.526973,38.324339
강원,삼포,128.533413,38.316508
강원,송지호,128.527656,38.332475
강원,송지호오토캠핑장,128.51564,38.342741
강원,천진,128.560001,38.259264
강원,화진포,128.438589,38.479045
강원,가진리,128.509312,38.372655
강원,거진11리,128.455214,38.443797
강원,거진1리,128.465826,38.448422
강원,공현1리,128.507976,38.359156
강원,공현2리,128.510752,38.35216
강원,교암리,128.547128,38.290869
강원,대진1리,128.425878,38.503818
강원,대진5리,128.429596,38.496342
강원,마차진,128.41981,38.510895
강원,문암2리,128.549377,38.296737
강원,반암리,128.462693,38.422757
강원,봉포,128.566116,38.252799
강원,삼포2리,128.539957,38.311874
강원,아야진,128.553295,38.276431
강원,자작도,128.542754,38.308689
강원,청간,128.556513,38.268277
강원,초도리,128.430357,38.490684
강원,캔싱턴리조트,128.572554,38.24407
강원,노봉,129.101316,37.587212
강원,대진,129.109179,37.581951
강원,망상,129.090128,37.593761
강원,망상리조트,129.079785,37.601139
강원,어달,129.118368,37.567905
강원,추암,129.1595,37.47754
강원,덕산,129.242577,37.385552
강원,맹방,129.234197,37.389286
강원,문암,129.288837,37.309404
강원,부남,129.251412,37.362319
강원,삼척,129.168849,37.468772
강원,상맹방(승공),129.210965,37.403696
강원,오분,129.191944,37.42654
강원,용화,129.303379,37.290626
강원,원평,129.27227,37.31993
강원,임원,129.3416,37.227054
강원,작은후진,129.175326,37.464532
강원,장호,129.314247,37.285914
강원,증산,129.161619,37.474761
강원,하맹방(연봉),129.225353,37.394294
강원,한재밑,129.205006,37.408625
강원,궁촌,129.268094,37.324416
강원,등대,128.595335,38.217174
강원,속초,128.603736,38.190492
강원,외옹치,128.608843,38.183701
강원,낙산,128.636915,38.114572
강원,남애3리,128.783858,37.946209
강원,동호,128.683011,38.058628
강원,물치,128.608422,38.153353
강원,설악,128.623365,38.130094
강원,오산,128.663565,38.091108
강원,지경,128.800686,37.924174
강원,하조대,128.725732,38.023067
강원,38,128.731353,38.00617
강원,갯마을,128.777554,37.94902
강원,광진,128.765218,37.96491
강원,남애1리,128.786972,37.937602
강원,동산,128.759586,37.977391
강원,동산포,128.757011,37.982042
강원,북분리,128.748856,37.988102
