구분,명칭,경도,위도
해수욕장,대빈창,126.22844,37.646383
해수욕장,동막,126.458791,37.592434
해수욕장,민머루,126.333573,37.651038
해수욕장,조개골,126.199815,37.658272
해수욕장,구리동,125.685328,37.667963
해수욕장,굴업도,125.978397,37.188376
해수욕장,밧지름,126.140902,37.214958
해수욕장,사곶,124.719328,37.950666
해수욕장,사탄동,124.680342,37.815286
해수욕장,서포리,126.11512,37.219677
해수욕장,십리포,126.484695,37.281793
해수욕장,옹암,126.373345,37.529708
해수욕장,이일레,126.302059,37.165361
해수욕장,작은풀안,126.257701,37.170857
해수욕장,장경리,126.451235,37.274236
해수욕장,장골,126.314272,37.249309
해수욕장,모래울,124.6845497,37.8140086
해수욕장,선녀바위,126.378505,37.439984
해수욕장,실미,126.40299,37.403397
해수욕장,왕산,126.369236,37.455571
해수욕장,을왕리,126.372519,37.447293
해수욕장,하나개,126.409295,37.385691
해수욕장,강문,128.917591,37.796618
해수욕장,경포,128.909962,37.803514
해수욕장,사근진,128.898479,37.813114
해수욕장,사천진,128.874214,37.842837
해수욕장,송정,128.940386,37.778257
해수욕장,안목,128.947272,37.773174
해수욕장,연곡,128.854417,37.858578
해수욕장,옥계,129.049433,37.628104
해수욕장,정동진,129.034513,37.690865
해수욕장,주문진,128.819143,37.911093
해수욕장,하평,128.87004,37.846003
해수욕장,금진,129.045026,37.636379
해수욕장,남항진,128.954655,37.764479
해수욕장,도직,129.068321,37.60957
해수욕장,등명,129.016634,37.70465
해수욕장,사천,128.878484,37.830015
해수욕장,순긋,128.892978,37.817132
해수욕장,안인,128.990137,37.734538
해수욕장,염전,128.984172,37.741903
해수욕장,영진,128.845203,37.869014
해수욕장,명파,128.40612,38.543557
해수욕장,백도,128.546495,38.300754
해수욕장,봉수대,128.526973,38.324339
해수욕장,삼포,128.533413,38.316508
해수욕장,송지호,128.527656,38.332475
해수욕장,송지호오토캠핑장,128.51564,38.342741
해수욕장,천진,128.560001,38.259264
해수욕장,화진포,128.438589,38.479045
해수욕장,가진리,128.509312,38.372655
해수욕장,거진11리,128.455214,38.443797
해수욕장,거진1리,128.465826,38.448422
해수욕장,공현1리,128.507976,38.359156
해수욕장,공현2리,128.510752,38.35216
해수욕장,교암리,128.547128,38.290869
해수욕장,대진1리,128.425878,38.503818
해수욕장,대진5리,128.429596,38.496342
해수욕장,마차진,128.41981,38.510895
해수욕장,문암2리,128.549377,38.296737
해수욕장,반암리,128.462693,38.422757
해수욕장,봉포,128.566116,38.252799
해수욕장,삼포2리,128.539957,38.311874
해수욕장,아야진,128.553295,38.276431
해수욕장,자작도,128.542754,38.308689
해수욕장,청간,128.556513,38.268277
해수욕장,초도리,128.430357,38.490684
해수욕장,캔싱턴리조트,128.572554,38.24407
해수욕장,노봉,129.101316,37.587212
해수욕장,대진,129.109179,37.581951
해수욕장,망상,129.090128,37.593761
해수욕장,망상리조트,129.079785,37.601139
해수욕장,어달,129.118368,37.567905
해수욕장,추암,129.1595,37.47754
해수욕장,덕산,129.242577,37.385552
해수욕장,맹방,129.234197,37.389286
해수욕장,문암,129.288837,37.309404
해수욕장,부남,129.251412,37.362319
해수욕장,삼척,129.168849,37.468772
해수욕장,상맹방(승공),129.210965,37.403696
해수욕장,오분,129.191944,37.42654
