번호,처리현황,신고번호,지역,접수일자,신고종류,활동종류,활동시작일,활동마지막일,기간
1,신고수리완료,2021-여수-102,여수,2021-10-10,건별 신고,수중,2021-10-10,2021-10-10,0
2,신고수리완료,2021-여수-101,여수,2021-10-09,건별 신고,수중,2021-10-09,2021-10-09,0
3,신고수리완료,2021-여수-98,여수,2021-10-04,건별 신고,수중,2021-10-04,2021-10-04,0
4,신고수리완료,2021-여수-92,여수,2021-10-03,건별 신고,수중,2021-10-03,2021-10-03,0
5,신고수리완료,2021-여수-94,여수,2021-10-03,건별 신고,수중,2021-10-03,2021-10-03,0
6,신고수리완료,2021-여수-90,여수,2021-10-02,건별 신고,수중,2021-10-02,2021-10-02,0
7,신고수리완료,2021-여수-88,여수,2021-09-23,건별 신고,수중,2021-09-23,2021-09-23,0
8,신고수리완료,2021-여수-86,여수,2021-09-22,건별 신고,수중,2021-09-22,2021-09-22,0
9,신고수리완료,2021-여수-85,여수,2021-09-12,건별 신고,수중,2021-09-12,2021-09-12,0
10,신고수리완료,2021-여수-83,여수,2021-09-11,건별 신고,수중,2021-09-11,2021-09-11,0
11,신고수리완료,2021-여수-84,여수,2021-09-11,건별 신고,수중,2021-09-11,2021-09-11,0
12,신고수리완료,2021-여수-82,여수,2021-09-10,건별 신고,수중,2021-09-10,2021-09-10,0
13,신고수리완료,2021-여수-80,여수,2021-08-30,건별 신고,수중,2021-08-30,2021-08-30,0
14,신고수리완료,2021-여수-81,여수,2021-08-30,건별 신고,수중,2021-08-30,2021-08-30,0
15,신고수리완료,2021-여수-78,여수,2021-08-29,건별 신고,수중,2021-08-29,2021-08-29,0
16,신고수리완료,2021-여수-79,여수,2021-08-29,건별 신고,수중,2021-08-29,2021-08-29,0
17,신고수리완료,2021-여수-69,여수,2021-08-28,건별 신고,수중,2021-08-28,2021-08-28,0
18,신고수리완료,2021-여수-75,여수,2021-08-28,건별 신고,수중,2021-08-28,2021-08-28,0
19,신고수리완료,2021-여수-68,여수,2021-08-27,건별 신고,수중,2021-08-27,2021-08-27,0
20,신고수리완료,2021-여수-67,여수,2021-08-26,건별 신고,수중,2021-08-26,2021-08-26,0
21,신고수리완료,2021-여수-66,여수,2021-08-20,건별 신고,수중,2021-08-20,2021-08-20,0
22,신고수리완료,2021-여수-65,여수,2021-08-16,건별 신고,수중,2021-08-16,2021-08-16,0
23,신고수리완료,2021-여수-63,여수,2021-08-15,건별 신고,수중,2021-08-15,2021-08-15,0
24,신고수리완료,2021-여수-60,여수,2021-08-13,기간제 신고,수중,2021-08-26,2021-11-25,91
25,신고수리완료,2021-여수-61,여수,2021-08-13,건별 신고,수중,2021-08-15,2021-08-15,0
26,신고수리완료,2021-여수-59,여수,2021-08-12,기간제 신고,수중,2021-08-26,2021-11-25,91
27,신고수리완료,2021-여수-58,여수,2021-08-11,건별 신고,수중,2021-08-11,2021-08-11,0
28,신고수리완료,2021-여수-50,여수,2021-08-10,건별 신고,수중,2021-08-10,2021-08-10,0
29,신고수리완료,2021-여수-49,여수,2021-08-08,건별 신고,수중,2021-08-08,2021-08-08,0
30,신고수리완료,2021-여수-48,여수,2021-08-07,건별 신고,수중,2021-08-07,2021-08-07,0
31,신고수리완료,2021-여수-47,여수,2021-08-06,건별 신고,수중,2021-08-06,2021-08-06,0
32,신고수리완료,2021-여수-45,여수,2021-08-01,건별 신고,수중,2021-08-01,2021-08-01,0
33,신고수리완료,2021-여수-44,여수,2021-07-31,건별 신고,수중,2021-07-31,2021-07-31,0
34,신고수리완료,2021-여수-40,여수,2021-07-30,건별 신고,수중,2021-07-28,2021-07-28,0
35,신고수리완료,2021-여수-41,여수,2021-07-30,건별 신고,수중,2021-07-30,2021-07-30,0
36,신고수리완료,2021-여수-42,여수,2021-07-30,건별 신고,수중,2021-07-30,2021-07-30,0
37,신고수리완료,2021-여수-39,여수,2021-07-29,건별 신고,수중,2021-07-28,2021-07-28,0
38,신고수리완료,2021-여수-38,여수,2021-07-28,건별 신고,수중,2021-07-28,2021-07-28,0
39,신고수리완료,2021-여수-37,여수,2021-07-27,건별 신고,수중,2021-07-18,2021-07-18,0
40,신고수리완료,2021-여수-36,여수,2021-07-18,건별 신고,수중,2021-07-18,2021-07-18,0
41,신고수리완료,2021-여수-31,여수,2021-07-17,건별 신고,수중,2021-07-17,2021-07-17,0
42,신고수리완료,2021-여수-28,여수,2021-06-26,건별 신고,수중,2021-06-27,2021-06-27,0
43,신고수리완료,2021-여수-27,여수,2021-06-25,건별 신고,수중,2021-06-26,2021-06-26,0
44,신고수리완료,2021-통영-1,통영,2021-06-25,기간제 신고,수상,2021-07-09,2021-09-30,83
45,신고수리완료,2021-여수-26,여수,2021-06-23,건별 신고,수중,2021-06-24,2021-06-24,0
46,신고수리완료,2021-여수-25,여수,2021-06-22,건별 신고,수중,2021-06-23,2021-06-23,0
47,신고수리완료,2021-여수-24,여수,2021-06-21,건별 신고,수중,2021-06-22,2021-06-22,0
48,신고수리완료,2021-여수-22,여수,2021-06-19,건별 신고,수중,2021-06-19,2021-06-19,0
49,신고수리완료,2021-서귀포-1,서귀포,2021-06-15,기간제 신고,수중,2021-06-30,2021-07-02,2
50,신고수리완료,2021-여수-19,여수,2021-06-05,건별 신고,수중,2021-06-05,2021-06-05,0
51,신고수리완료,2021-여수-20,여수,2021-06-05,건별 신고,수중,2021-06-06,2021-06-06,0
52,신고수리완료,2021-속초-6,속초,2021-06-04,건별 신고,수중,2021-06-19,2021-06-20,1
53,신고수리완료,2021-여수-16,여수,2021-06-03,기간제 신고,수중,2021-06-21,2021-08-24,64
54,신고수리완료,2021-여수-12,여수,2021-05-29,건별 신고,수중,2021-05-30,2021-05-30,0
55,신고수리완료,2021-여수-15,여수,2021-05-29,건별 신고,수중,2021-05-29,2021-05-29,0
56,신고수리완료,2021-제주-2,제주,2021-05-21,기간제 신고,수중,2021-06-04,2021-09-03,91
57,신고수리완료,2021-속초-2,속초,2021-05-13,기간제 신고,수중,2021-05-21,2021-09-30,132
58,신고수리완료,2021-속초-3,속초,2021-05-13,기간제 신고,수중,2021-05-21,2021-09-30,132
59,신고수리완료,2021-속초-4,속초,2021-05-13,건별 신고,수중,2021-05-28,2021-05-30,2
60,신고수리완료,2021-속초-5,속초,2021-05-13,건별 신고,수중,2021-05-28,2021-05-30,2
61,신고수리완료,2021-속초-1,속초,2021-05-07,기간제 신고,수중,2021-05-21,2021-09-30,132
62,신고수리완료,2021-여수-8,여수,2021-05-07,건별 신고,수중,2021-05-07,2021-05-07,0
63,신고수리완료,2021-여수-9,여수,2021-05-07,건별 신고,수중,2021-05-08,2021-05-08,0
64,신고수리완료,2021-여수-7,여수,2021-05-06,건별 신고,수중,2021-05-07,2021-05-07,0
65,신고수리완료,2021-여수-4,여수,2021-05-05,건별 신고,수중,2021-04-09,2021-04-09,0
66,신고수리완료,2021-여수-5,여수,2021-05-05,건별 신고,수중,2021-04-09,2021-04-09,0
67,신고수리완료,2021-여수-6,여수,2021-05-05,건별 신고,수중,2021-05-06,2021-05-06,0
68,신고수리완료,2021-여수-3,여수,2021-04-08,건별 신고,수중,2021-04-09,2021-04-09,0
69,신고수리완료,2021-여수-2,여수,2021-03-05,기간제 신고,수중,2021-03-21,2021-06-20,91
70,신고수리완료,2020-여수-86,여수,2020-11-30,기간제 신고,수중,2020-12-21,2021-03-20,89
71,신고수리완료,2020-여수-85,여수,2020-11-07,건별 신고,수중,2020-11-08,2020-11-08,0
72,신고수리완료,2020-여수-83,여수,2020-11-06,건별 신고,수중,2020-11-07,2020-11-07,0
73,신고수리완료,2020-여수-81,여수,2020-10-31,건별 신고,수중,2020-10-31,2020-10-31,0
74,신고수리완료,2020-여수-82,여수,2020-10-31,건별 신고,수중,2020-11-01,2020-11-01,0
75,신고수리완료,2020-서귀포-1,서귀포,2020-10-08,계획(변경)신고,수중,2020-10-24,2020-10-25,1
76,신고수리완료,2020-속초-10,속초,2020-10-08,건별 신고,수중,2020-10-10,2020-10-12,2
77,신고수리완료,2020-제주-4,제주,2020-09-24,기간제 신고,수중,2020-10-08,2020-11-30,53
78,신고수리완료,2020-여수-78,여수,2020-09-19,건별 신고,수중,2020-09-20,2020-09-20,0
79,신고수리완료,2020-여수-76,여수,2020-09-18,건별 신고,수중,2020-09-19,2020-09-19,0
80,신고수리완료,2020-여수-77,여수,2020-09-18,건별 신고,수중,2020-09-19,2020-09-19,0
81,신고수리완료,2020-속초-9,속초,2020-09-17,건별 신고,수중,2020-09-19,2020-09-20,1
82,신고수리완료,2020-여수-73,여수,2020-09-17,건별 신고,수중,2020-09-18,2020-09-18,0
83,신고수리완료,2020-여수-75,여수,2020-09-17,건별 신고,수중,2020-09-17,2020-09-17,0
84,신고수리완료,2020-통영-200,통영,2020-09-08,기간제 신고,수중,2020-09-22,2021-12-31,465
85,신고수리완료,2020-속초-8,속초,2020-09-04,건별 신고,수중,2020-09-05,2020-09-06,1
86,신고수리완료,2020-여수-67,여수,2020-08-29,건별 신고,수중,2020-08-30,2020-08-30,0
87,신고수리완료,2020-여수-66,여수,2020-08-28,건별 신고,수중,2020-08-29,2020-08-29,0
88,신고수리완료,2020-여수-65,여수,2020-08-27,기간제 신고,수중,2020-09-21,2020-12-20,90
89,신고수리완료,2020-여수-62,여수,2020-08-23,건별 신고,수중,2020-08-23,2020-08-23,0
90,신고수리완료,2020-통영-199,통영,2020-08-23,건별 신고,수상,2020-08-23,2020-08-23,0
91,신고수리완료,2020-여수-60,여수,2020-08-22,건별 신고,수중,2020-08-22,2020-08-22,0
92,신고수리완료,2020-통영-183,통영,2020-08-22,건별 신고,수상,2020-08-22,2020-08-22,0
93,신고수리완료,2020-통영-184,통영,2020-08-22,건별 신고,수상,2020-08-22,2020-08-22,0
94,신고수리완료,2020-통영-185,통영,2020-08-22,건별 신고,수상,2020-08-22,2020-08-22,0
95,신고수리완료,2020-통영-186,통영,2020-08-22,건별 신고,수상,2020-08-22,2020-08-22,0
96,신고수리완료,2020-통영-187,통영,2020-08-22,건별 신고,수상,2020-08-22,2020-08-22,0
97,신고수리완료,2020-통영-188,통영,2020-08-22,건별 신고,수상,2020-08-22,2020-08-22,0
98,신고수리완료,2020-통영-189,통영,2020-08-22,건별 신고,수상,2020-08-22,2020-08-22,0
99,신고수리완료,2020-통영-190,통영,2020-08-22,건별 신고,수상,2020-08-22,2020-08-22,0
100,신고수리완료,2020-통영-191,통영,2020-08-22,건별 신고,수상,2020-08-22,2020-08-22,0
101,신고수리완료,2020-통영-192,통영,2020-08-22,건별 신고,수상,2020-08-22,2020-08-22,0
102,신고수리완료,2020-통영-193,통영,2020-08-22,건별 신고,수상,2020-08-22,2020-08-22,0
103,신고수리완료,2020-통영-194,통영,2020-08-22,건별 신고,수상,2020-08-22,2020-08-22,0
104,신고수리완료,2020-통영-195,통영,2020-08-22,건별 신고,수상,2020-08-22,2020-08-22,0
105,신고수리완료,2020-통영-196,통영,2020-08-22,건별 신고,수상,2020-08-22,2020-08-22,0
106,신고수리완료,2020-통영-197,통영,2020-08-22,건별 신고,수상,2020-08-22,2020-08-22,0
107,신고수리완료,2020-통영-198,통영,2020-08-22,건별 신고,수상,2020-08-22,2020-08-22,0
108,신고수리완료,2020-통영-177,통영,2020-08-21,건별 신고,수상,2020-08-21,2020-08-21,0
109,신고수리완료,2020-통영-178,통영,2020-08-21,건별 신고,수상,2020-08-20,2020-08-20,0
110,신고수리완료,2020-통영-179,통영,2020-08-21,건별 신고,수상,2020-08-21,2020-08-21,0
111,신고수리완료,2020-통영-180,통영,2020-08-21,건별 신고,수상,2020-08-21,2020-08-21,0
112,신고수리완료,2020-통영-181,통영,2020-08-21,건별 신고,수상,2020-08-21,2020-08-21,0
113,신고수리완료,2020-통영-182,통영,2020-08-21,건별 신고,수상,2020-08-21,2020-08-21,0
114,신고수리완료,2020-통영-173,통영,2020-08-20,건별 신고,수상,2020-08-20,2020-08-20,0
115,신고수리완료,2020-통영-174,통영,2020-08-20,건별 신고,수상,2020-08-20,2020-08-20,0
116,신고수리완료,2020-통영-175,통영,2020-08-20,건별 신고,수상,2020-08-20,2020-08-20,0
117,신고수리완료,2020-통영-176,통영,2020-08-20,건별 신고,수상,2020-08-20,2020-08-20,0
118,신고수리완료,2020-통영-166,통영,2020-08-19,건별 신고,수상,2020-08-17,2020-08-17,0
119,신고수리완료,2020-통영-167,통영,2020-08-19,건별 신고,수상,2020-08-17,2020-08-17,0
120,신고수리완료,2020-통영-168,통영,2020-08-19,건별 신고,수상,2020-08-19,2020-08-19,0
121,신고수리완료,2020-통영-169,통영,2020-08-19,건별 신고,수상,2020-08-18,2020-08-18,0
122,신고수리완료,2020-통영-170,통영,2020-08-19,건별 신고,수상,2020-08-18,2020-08-18,0
123,신고수리완료,2020-통영-171,통영,2020-08-19,건별 신고,수상,2020-08-19,2020-08-19,0
124,신고수리완료,2020-통영-172,통영,2020-08-19,건별 신고,수상,2020-08-19,2020-08-19,0
125,신고수리완료,2020-여수-59,여수,2020-08-18,건별 신고,수중,2020-08-19,2020-08-19,0
126,신고수리완료,2020-통영-161,통영,2020-08-18,건별 신고,수상,2020-08-17,2020-08-17,0
127,신고수리완료,2020-통영-162,통영,2020-08-18,건별 신고,수상,2020-08-17,2020-08-17,0
128,신고수리완료,2020-통영-163,통영,2020-08-18,건별 신고,수상,2020-08-18,2020-08-18,0
129,신고수리완료,2020-통영-164,통영,2020-08-18,건별 신고,수상,2020-08-18,2020-08-18,0
130,신고수리완료,2020-통영-165,통영,2020-08-18,건별 신고,수상,2020-08-18,2020-08-18,0
131,신고수리완료,2020-여수-57,여수,2020-08-17,건별 신고,수중,2020-08-18,2020-08-18,0
132,신고수리완료,2020-통영-152,통영,2020-08-17,건별 신고,수상,2020-08-17,2020-08-17,0
133,신고수리완료,2020-통영-153,통영,2020-08-17,건별 신고,수상,2020-08-17,2020-08-17,0
134,신고수리완료,2020-통영-154,통영,2020-08-17,건별 신고,수상,2020-08-17,2020-08-17,0
135,신고수리완료,2020-통영-155,통영,2020-08-17,건별 신고,수상,2020-08-17,2020-08-17,0
136,신고수리완료,2020-통영-156,통영,2020-08-17,건별 신고,수상,2020-08-16,2020-08-16,0
137,신고수리완료,2020-통영-157,통영,2020-08-17,건별 신고,수상,2020-08-16,2020-08-16,0
138,신고수리완료,2020-통영-158,통영,2020-08-17,건별 신고,수상,2020-08-17,2020-08-17,0
139,신고수리완료,2020-통영-159,통영,2020-08-17,건별 신고,수상,2020-08-17,2020-08-17,0
140,신고수리완료,2020-통영-160,통영,2020-08-17,건별 신고,수상,2020-08-17,2020-08-17,0
141,신고수리완료,2020-여수-56,여수,2020-08-16,건별 신고,수중,2020-08-17,2020-08-17,0
142,신고수리완료,2020-통영-146,통영,2020-08-16,건별 신고,수상,2020-08-15,2020-08-15,0
143,신고수리완료,2020-통영-147,통영,2020-08-16,건별 신고,수상,2020-08-16,2020-08-16,0
144,신고수리완료,2020-통영-148,통영,2020-08-16,건별 신고,수상,2020-08-16,2020-08-16,0
145,신고수리완료,2020-통영-149,통영,2020-08-16,건별 신고,수상,2020-08-16,2020-08-16,0
146,신고수리완료,2020-통영-150,통영,2020-08-16,건별 신고,수상,2020-08-16,2020-08-16,0
147,신고수리완료,2020-통영-151,통영,2020-08-16,건별 신고,수상,2020-08-16,2020-08-16,0
148,신고수리완료,2020-여수-55,여수,2020-08-15,건별 신고,수중,2020-08-16,2020-08-16,0
149,신고수리완료,2020-통영-140,통영,2020-08-15,건별 신고,수상,2020-08-15,2020-08-15,0
150,신고수리완료,2020-통영-141,통영,2020-08-15,건별 신고,수상,2020-08-14,2020-08-14,0
151,신고수리완료,2020-통영-142,통영,2020-08-15,건별 신고,수상,2020-08-15,2020-08-15,0
152,신고수리완료,2020-통영-143,통영,2020-08-15,건별 신고,수상,2020-08-15,2020-08-15,0
