발생일자,연도,시간,시간대,요일,지방청,해경서, 파출소,시·도,시·군·구,읍·면·동,상세주소,대분류,중분류,위치,대분류,세분류,위도,경도
2010-04-28,2010,18:20,,,남해 지방청,부산,다대 파출소,부산광역시,서구,원양로,감천항 동편부두 31~33번 선석,항포구,감천항,,침수,추락,35.06638889,129.0091667
2010-05-05,2010,06:10,오전,수요일,서해 지방청,부안,변산 파출소,전라북도,부안군,변산면,전북 부안군 변산면 격포리 격포항 변산파출소 30m,항포구,격포항,,침수,추락,35.62406944,126.4697444
2010-08-08,2010,11:54,,,서해 지방청,여수,나로도 파출소,전라남도,여수시,종화동,전남 고흥군 영남면 양화마을 선착장,항포구,선착장,,침수,추락,34.58849722,127.4594667
2010-08-12,2010,05:45,심야,목요일,서해 지방청,여수,봉산 파출소,전라남도,여수시,종화동,여수 종화동 하멜등대 ,항포구,종포항,하멜등대,,추락,34.73666389,127.7482139
2010-08-15,2010,10:30,오전,일요일,서해 지방청,목포,영광 파출소,전라남도,영광군,낙월면,전남 영광군 낙월면 상낙월리 도로변,해안가,,,침수,추락,35.20091667,126.1438444
2010-08-22,2010,04:50,심야,일요일,남해 지방청,울산,기장 파출소,울산광역시,기장군,기장읍,대변항 대변초등학교 앞 ,항포구,대변항,용암초등학교 앞,침수,추락,35.22442222,129.2272
2010-11-02,2010,11:15,오전,화요일,남해 지방청,울산,진하 파출소,울산광역시,울주군,서생면,울주군 서생면 진하해수욕장 아성일마레 오피스텔 앞 ,해안가,해안도로,,비침수,추락,35.38938889,129.3455
2010-11-15,2010,12:20,오후,월요일,제주 지방청,서귀포,서귀포 파출소,제주특별자치도,서귀포시,서홍동,서귀항,항포구,서귀항,,침수,추락,33.23931389,126.563775
2010-12-21,2010,14:00,오전,화요일,중부 지방청,인천,하늘바다 파출소,인천광역시,중구,중산동,영종도 구읍 뱃터 어선 선착장,항포구,구읍 뱃터,선착장,침수,추락,"37.493748,",126.581854
2010-12-22,2010,17:00,,,중부 지방청,인천,강화 파출소,인천광역시,강화군,내가면,황청포구 선착장 주차장 앞,항포구,황청포구,선착장,침수,추락,37.71219444,126.3531111
2011-01-01,2011,,,,서해 지방청,완도,완도 파출소,전라남도,완도군,신지면,완도군 신지면 동고리 선착장,항포구,동고리,선착장,침수,추락,34.32475,126.8818944
2011-01-03,2011,22:00,,,남해 지방청,울산, 온산 파출소,울산광역시,울주군,서생면,울주군 서생면 진하항 선착장 해안도로 ,항포구,진하항,해안도로,침수,추락,35.389325,129.3445306
2011-01-20,2011,06:13,,,제주 지방청,제주,제주 파출소,제주특별자치도,제주시,구좌읍,구좌읍 월정포구,항포구,월정포구,,침수,추락,33.55766667,126.7948333
2011-04-04,2011,,,,서해 지방청,완도,완도 파출소,전라남도,완도군,완도읍,완도읍 가용리 농공단지 풍선 축양장 부근,해안가,풍선,풍선 축양장,침수,추락,34.34378889,126.7371694
2011-04-11,2011,09:20,,,서해 지방청,여수,봉산 파출소,전라남도,여수시,종화동,여수시 종화동 해양공원 앞,해안가,해양공원 앞,,침수,추락,34.73803333,127.744925
2011-04-14,2011,,,,서해 지방청,목포,북항 파출소,전라남도,목포시,죽교동,북항 소형어선 물양장,항포구,북항,물량장,침수,추락,34.806575,126.3650083
2011-04-17,2011,09:10,,,서해 지방청,여수,녹동 파출소,전라남도,고흥군,도양읍,고흥 녹동 신항 여객선 터미널,항포구,녹동신항,여객선 터미널,침수,추락,34.52334167,127.1434944
2011-05-05,2011,,,,서해 지방청,완도,완도 파출소,전라남도,완도군,청산면,완도군 청산면 도청리항 자연식당 앞,항포구,청산도항,자연식당 앞,침수,추락,34.18117222,126.8549694
2011-05-06,2011,11:41,,,제주 지방청,제주,한림 파출소,제주특별자치도,제주시,한림읍,한림항내 이시돌 사료 공장 앞,해안가,,,침수,추락,33.41827778,126.2625278
2011-05-16,2011,08:40,,,중부 지방청,태안,대천 파출소,충청남도,보령시,신흑동,신협수협 인근 선착장,항포구,대천항,수협,침수,추락,36.32794444,126.5070028
2011-05-16,2011,16:28,,,제주 지방청,제주,한림 파출소,제주특별자치도,제주시,애월읍,애월읍 애월항 북방파제 모래야적장 앞 ,방파제,,,침수,추락,33.46747222,126.325
2011-05-23,2011,18:10,오후,,서해 지방청,부안,변산 파출소,전라북도,부안군,변산면,부안군 변산면 격포리 여객선 부두앞 ,항포구,격포항,슬립웨이,일부침수,추락,35.62054167,126.4701472
2011-05-23,2011,06:00,,,남해 지방청,울산, 방어진 파출소,울산광역시,동구,일산동,일산해수욕장 앞 회센터 앞 ,해안가,해안가,일산수산물 센터 앞,침수,추락,35.50027778,129.43475
2011-05-27,2011,19:05,오후,,서해 지방청,군산,비응 파출소,전라북도,군산시,비응도동,비응항 수협 제빙공장 앞 부두,항포구,비응항,수협 제빙공장,침수,추락,35.93456111,126.5316111
2011-06-09,2011,03:25,심야,목요일,중부 지방청,평택,당진 파출소,경기도,당진시,석문면,석문선착장 하단 부근,항포구,석문,선착장,,추락,36.99919167,126.6861056
2011-06-09,2011,,,,서해 지방청,목포,북항 파출소,전라남도,목포시,항동,목포여객선터미널,항포구,북항,,침수,추락,34.80530556,126.3645556
2011-06-18,2011,04:31,오전,,서해 지방청,군산,새만금 파출소,전라북도,군산시,옥도면,신시도 항,항포구,신시도항,슬립웨이,일부침수,추락,35.82315556,126.4740639
2011-06-18,2011,14:30,오후,,서해 지방청,군산,새만금 파출소,전라북도,군산시,옥도면,야미도리 선착장,항포구,야미도리,선착장,일부침수,추락,35.84071111,126.4888167
2011-06-24,2011,10:20,오전,금요일,남해 지방청,통영,고현 파출소,경상남도,거제시,둔덕면,거제시 둔덕면 어구 멍게하치장 30m앞 ,항포구,선착장,,침수,추락,34.82049167,128.5058167
2011-06-26,2011,01:00,,,제주 지방청,제주,제주 파출소,제주특별자치도,제주시,도두일동,도두항 미르호 선착장앞 ,항포구,미르호 선착장,,침수,추락,33.50805,126.4663167
2011-07-10,2011,08:10,오전,일요일,제주 지방청,서귀포,화순 파출소,제주특별자치도,서귀포시,안덕면,화순항 2부두,항포구,화순항 2부두,,침수,추락,33.23633611,126.3336194
2011-07-12,2011,13:00,,,중부 지방청,태안,대천 파출소,충청남도,보령시,신흑동,대천항 유람선선착장 인근 ,항포구,대천항,물량장,침수,추락,36.32763889,126.5124167
2011-07-24,2011,,,,서해 지방청,목포,영광 파출소,전라남도,영광군,홍농읍,계마항 북방파제 옆 안벽,항포구,계마항,북방파제 옆,비침수,추락,35.39425833,126.4038444
2011-07-26,2011,01:08,심야,화요일,남해 지방청,통영,통영 파출소,경상남도,통영시,사등면,통영시 한산면 소고포 카페리선착장(한산도-거제 어구)앞 ,항포구,선착장,,침수,추락,34.79678889,128.4901694
2011-07-31,2011,15:40,,,중부 지방청,평택,대산 파출소,충청남도,서산시,대산읍,삼길포 선착장,항포구,삼길포항,선착장,침수,추락,37.00468889,126.4524028
2011-08-09,2011,02:44,심야,화요일,중부 지방청,인천,연평 파출소,인천광역시,옹진군,연평면,인천 옹진군 연평면 소연평도,해안가,소연평도,서측,침수,추락,37.61315556,125.72075
2011-08-11,2011,11:50,오전,,서해 지방청,부안,변산 파출소,전라북도,부안군,변산면,부안군 변산면 적벽강 몽돌 해안 관찰지,해안가,해양생태관찰지,,침수,추락,35.63488889,126.4675
2011-08-14,2011,05:00,심야,일요일,남해 지방청,통영,장승포 파출소,경상남도,거제시,일운면,거제시 구조라항내 세길수산 앞 안벽 접안 중 선박갑판상,항포구,세길수산 앞,,비침수,추락,34.80215278,128.4313056
2011-08-16,2011,19:35,오전,화요일,중부 지방청,인천,하늘바다 파출소,인천광역시,중구,중산동,인천 중구 중산동 소재 구읍뱃터(제1부두 및 제2부두 선착장 사이) 중간 선착장,항포구,구읍 뱃터,중간선착장,침수,추락,37.49227222,126.5816833
2011-08-17,2011,06:08,,,동해 지방청,포항,후포 파출소,경상북도,영덕군,병곡면,백석리항내,항포구,백석항,,침수,추락,36.62359167,129.4126694
