발생일시,관할해경서,발생해역,발생유형,발생원인,기상,사고선박수,구조인원,부상인원,사망인원,사고위치,위도,경도,선종,톤수,geometry
2011-12-31 13:20,울산,영해-EEZ,화재,관리소홀,양호,1.0,4.0,0.0,0.0,울기 동남방 26마일 해상,35.31666666666667,129.85,어선,9.77,POINT (129.85 35.31666666666667)
2011-12-31 12:22,통영,항계내,추진기장애,운항부주의,양호,1.0,2.0,0.0,0.0,"34-40N,128-41-45E 해점",34.66833333333334,128.69583333333333,어선,4.97,POINT (128.69583333333333 34.66833333333334)
2011-12-31 06:40,여수,영해,전복,운항부주의,양호,1.0,5.0,0.0,0.0,여수시 돌산읍 항대 앞,34.65138888888889,127.7063888888889,낚시어선,1.88,POINT (127.7063888888889 34.65138888888889)
2011-12-30 21:15,부산,항계내,화재,정비불량,양호,1.0,67.0,0.0,0.0,부산 사하구 감천항 3부두 2선석(35-03.78N 129-00.70E),35.071666666666665,129.01944444444445,어선,2194.0,POINT (129.01944444444445 35.071666666666665)
2011-12-30 12:00,서귀포,영해-EEZ,기관고장,정비불량,양호,1.0,6.0,0.0,0.0,서귀포 남방 43마일,32.516666666666666,126.6,어선,8.55,POINT (126.6 32.516666666666666)
2011-12-30 11:07,속초,영해,침수,정비불량,양호,1.0,1.0,0.0,0.0,낙산 동방 2.5마일,37.1225,128.6888888888889,어선,3.0,POINT (128.6888888888889 37.1225)
2011-12-30 01:30,서귀포,영해-EEZ,기관고장,정비불량,양호,1.0,10.0,0.0,0.0,서귀포 남동 30마일,32.833333333333336,126.9,어선,79.0,POINT (126.9 32.833333333333336)
2011-12-29 16:30,울산,영해,기관고장,정비불량,태풍주의보,1.0,2.0,0.0,0.0,방어진 남동방 7,35.43194444444445,129.5611111111111,어선,15.0,POINT (129.5611111111111 35.43194444444445)
2011-12-29 14:48,통영,항계내,기타,정비불량,양호,1.0,1.0,0.0,0.0,남해미조 동방 인근해상,34.71944444444444,128.12416666666667,관공선,10.0,POINT (128.12416666666667 34.71944444444444)
2011-12-29 14:15,목포,영해,추진기장애,운항부주의,양호,1.0,46.0,0.0,0.0,전남 진도군 조도면 장죽도 남서 0.5마일,34.3375,126.09861111111111,여객선,247.0,POINT (126.09861111111111 34.3375)
2011-12-29 13:35,목포,영해,추진기장애,관리소홀,양호,1.0,1.0,0.0,0.0,전남 영광군 염산면 두우리 서방 1마일 해상,35.21666666666667,126.28333333333333,기타,4.2,POINT (126.28333333333333 35.21666666666667)
2011-12-29 10:50,인천,영해,기관고장,정비불량,황천5급,1.0,5.0,0.0,0.0,덕적도 북방 15마일,37.516666666666666,126.08333333333333,어선,9.77,POINT (126.08333333333333 37.516666666666666)
2011-12-28 16:00,목포,영해,화재,화기취급부주의,양호,1.0,10.0,8.0,0.0,전남 진도군 조도면 가사도리 양덕도 남방 0.3마일,34.483333333333334,126.1,어선,29.0,POINT (126.1 34.483333333333334)
2011-12-28 14:40,통영,항계내,좌초,운항부주의,양호,1.0,2.0,0.0,0.0,경남 사천시 소재 향기도 남동방 0.4마일 해상,34.94361111111111,127.97472222222223,어선,2.99,POINT (127.97472222222223 34.94361111111111)
2011-12-28 13:45,포항,영해,추진기장애,운항부주의,양호,1.0,1.0,0.0,0.0,영일만 신항 북방파제 동방 2마일,36.09722222222222,129.44444444444446,어선,3.0,POINT (129.44444444444446 36.09722222222222)
2011-12-27 08:30,동해,영해,기관고장,기타,양호,1.0,11.0,0.0,0.0,강원도 삼척시 장호항 동방 약 2마일,37.28916666666667,129.35777777777778,낚시어선,4.99,POINT (129.35777777777778 37.28916666666667)
2011-12-26 20:50,부산,영해,표류,운항부주의,양호,1.0,1.0,0.0,0.0,신자도 남방 1마일(추정),35.05,128.9,어선,2.21,POINT (128.9 35.05)
2011-12-26 20:35,부산,항계내,기타,운항부주의,양호,2.0,20.0,0.0,0.0,부산 남항 출입항 항로 홍색 등부표 10번과 12번 사이,35.075,129.0388888888889,어선,29.0,POINT (129.0388888888889 35.075)
2011-12-26 14:10,여수,영해,기관고장,정비불량,양호,1.0,3.0,0.0,0.0,여수시 남면 작도 남동방 약 2.3마일,34.4,127.94722222222222,어선,4.99,POINT (127.94722222222222 34.4)
2011-12-26 14:00,서귀포,영해,기관고장,정비불량,황천5급,1.0,1.0,0.0,0.0,동일리 포구 앞 500m해상,33.22888888888889,126.23833333333333,어선,1.04,POINT (126.23833333333333 33.22888888888889)
2011-12-26 07:10,평택,영해,기타,기상악화,태풍주의보,2.0,52.0,0.0,0.0,장안서 입항 대기 묘지,37.06333333333333,126.2125,화물선,81569.0,POINT (126.2125 37.06333333333333)
2011-12-26 01:30,울산,영해-EEZ,기타,기타,풍랑주의보,1.0,3.0,0.0,1.0,간절곶 동방 15마일,35.33888888888889,129.68333333333334,어선,139.0,POINT (129.68333333333334 35.33888888888889)
2011-12-25 08:35,속초,항계내,침수,관리소홀,양호,1.0,0.0,0.0,0.0,강릉시 주문진항 관공선부두,37.88611111111111,128.83083333333335,어선,29.0,POINT (128.83083333333335 37.88611111111111)
2011-12-25 03:53,여수,영해,침수,관리소홀,양호,1.0,0.0,0.0,0.0,여수시 신월동 호남장례식장 앞 선착장,34.72611111111111,127.71416666666667,어선,7.93,POINT (127.71416666666667 34.72611111111111)
2011-12-24 19:28,포항,영해,타기고장,정비불량,풍랑주의보,1.0,5.0,0.0,0.0,강구 동방 8마일,36.35,129.55,어선,9.77,POINT (129.55 36.35)
2011-12-24 10:31,여수,영해,전복,관리소홀,양호,1.0,0.0,0.0,0.0,여수시 돌산읍 대횡간도 수로,34.585277777777776,127.76638888888888,어선,2.32,POINT (127.76638888888888 34.585277777777776)
2011-12-23 20:30,서귀포,영해-EEZ,충돌,운항부주의,황천4급,2.0,21.0,0.0,0.0,표선 남동방 18마일,33.416666666666664,126.96666666666667,어선,29.0,POINT (126.96666666666667 33.416666666666664)
2011-12-22 22:00,완도,영해,전복,운항부주의,양호,1.0,1.0,3.0,1.0,전남 완도군 노화읍 잘포리 앞 인근해상,34.18555555555555,126.56416666666667,어선,1.88,POINT (126.56416666666667 34.18555555555555)
2011-12-22 16:20,통영,영해,기관고장,정비불량,양호,1.0,1.0,0.0,0.0,거제시 외도 동방 0.5M' 해상,34.769444444444446,128.73416666666665,어선,1.99,POINT (128.73416666666665 34.769444444444446)
2011-12-22 11:05,통영,영해,전복,기상악화,풍랑주의보,1.0,1.0,0.0,1.0,통영해경서-2011-12-0165,34.327777777777776,128.52277777777778,어선,7.93,POINT (128.52277777777778 34.327777777777776)
2011-12-22 07:40,목포,영해,추진기장애,운항부주의,황천5급,1.0,11.0,0.0,0.0,전남 신안군 흑산면 가거도 남동 19마일,33.78333333333333,125.38333333333334,어선,78.0,POINT (125.38333333333334 33.78333333333333)
2011-12-21 18:50,제주,영해,좌초,운항부주의,양호,1.0,11.0,0.0,0.0,"33-25N, 126-13.40E(비양도 등대 앞)",33.416666666666664,126.22777777777777,어선,29.0,POINT (126.22777777777777 33.416666666666664)
2011-12-21 18:35,인천,협수로,기관고장,정비불량,태풍주의보,1.0,3.0,0.0,0.0,묵통도 근해상,37.266666666666666,126.26666666666667,유도선,20.0,POINT (126.26666666666667 37.266666666666666)
2011-12-21 16:14,울산,영해,충돌,운항부주의,황천5급,2.0,52.0,0.0,0.0,울산 주전동방 9마일,35.55833333333333,129.64444444444445,어선,27.0,POINT (129.64444444444445 35.55833333333333)
2011-12-21 13:40,부산,영해,기관고장,정비불량,양호,1.0,1.0,0.0,0.0,송정항 구등대 북서방 500미터 해상,35.17638888888889,129.22222222222223,어선,1.16,POINT (129.22222222222223 35.17638888888889)
2011-12-21 09:10,부산,영해,기관고장,정비불량,양호,1.0,1.0,0.0,0.0,"송정 죽도공원 남서방 1,000미터",35.172222222222224,129.20277777777778,어선,1.16,POINT (129.20277777777778 35.172222222222224)
2011-12-20 20:30,통영,항계내,좌초,기타,양호,1.0,4.0,0.0,0.0,사천시 장구도 부근 모살여 해상,34.91583333333333,128.06861111111112,기타,4.0,POINT (128.06861111111112 34.91583333333333)
2011-12-20 19:03,통영,항계내,좌초,운항부주의,양호,1.0,3.0,3.0,0.0,진해구 속천동 소재 도투마리암,35.10666666666667,128.68472222222223,어선,2.09,POINT (128.68472222222223 35.10666666666667)
2011-12-20 17:15,목포,영해,추진기장애,운항부주의,양호,1.0,6.0,0.0,0.0,전남 신안군 송이도 북동 4.5마일 해상,35.31666666666667,126.21666666666667,어선,12.0,POINT (126.21666666666667 35.31666666666667)
2011-12-20 17:08,포항,영해-EEZ,화재,정비불량,양호,1.0,7.0,0.0,0.0,강구 동방 30마일,36.3,130.01666666666668,어선,48.0,POINT (130.01666666666668 36.3)
2011-12-20 14:40,통영,항계내,기관고장,정비불량,양호,1.0,1.0,0.0,0.0,거가대교 인근해상,35.02027777777778,128.7325,어선,0.8,POINT (128.7325 35.02027777777778)
2011-12-20 11:05,목포,영해,기관고장,관리소홀,양호,1.0,3.0,0.0,0.0,전남 진도군 조도면 병풍도 남방 2.5마일 해상,34.1,125.93333333333334,어선,7.93,POINT (125.93333333333334 34.1)
2011-12-20 05:27,동해,영해,화재,기타,양호,1.0,3.0,0.0,0.0,삼척시 삼척항 동방 약 10마일,37.53333333333333,129.35,어선,7.93,POINT (129.35 37.53333333333333)
2011-12-19 11:20,부산,항계내,기타,운항부주의,양호,2.0,18.0,0.0,0.0,남외항 N-4 묘박지(35-02.28N 129-02.92E),35.041111111111114,129.0588888888889,화물선,10360.0,POINT (129.0588888888889 35.041111111111114)
2011-12-19 06:15,제주,영해,추진기장애,정비불량,양호,1.0,13.0,0.0,0.0,"33-31N, 125-42E(차귀도 북서방 25마일)",33.516666666666666,125.7,어선,29.0,POINT (125.7 33.516666666666666)
2011-12-18 15:16,포항,영해,충돌,운항부주의,양호,1.0,12.0,0.0,0.0,감포 동방 10마일,35.8,129.71666666666667,어선,29.0,POINT (129.71666666666667 35.8)
2011-12-18 11:55,통영,항계내,기관고장,운항부주의,양호,1.0,1.0,0.0,0.0,죽암도 남동방 0.7마일 해상,34.695277777777775,128.08055555555555,어선,3.5,POINT (128.08055555555555 34.695277777777775)
2011-12-18 03:35,여수,항계내,기관고장,관리소홀,양호,1.0,2.0,0.0,0.0,여수시 돌산도 우두리 하멜 등대 앞 해상,34.725833333333334,127.78222222222222,어선,2.97,POINT (127.78222222222222 34.725833333333334)
2011-12-17 15:40,통영,항계내,추진기장애,운항부주의,양호,1.0,3.0,0.0,0.0,잠도 남서방 0.9마일 해상,35.04361111111111,128.6638888888889,어선,2.32,POINT (128.6638888888889 35.04361111111111)
2011-12-16 14:18,통영,항계내,침수,관리소홀,황천5급,1.0,2.0,0.0,0.0,남해군 상주면 금포해상앞,34.69722222222222,128.03527777777776,어선,2.76,POINT (128.03527777777776 34.69722222222222)
2011-12-16 07:55,부산,영해-EEZ,기타,운항부주의,양호,2.0,28.0,0.0,0.0,홍도동방 8.5M 해상(34-31N 128-54E),34.516666666666666,128.9,어선,29.0,POINT (128.9 34.516666666666666)
2011-12-15 09:30,포항,영해,전복,운항부주의,황천5급,1.0,5.0,0.0,0.0,강사 동방 7.7,36.05,123.73333333333333,어선,5.27,POINT (123.73333333333333 36.05)
2011-12-15 06:20,울산,영해-EEZ,기관고장,정비불량,황천5급,1.0,6.0,0.0,0.0,주전 동방 25마일,35.53333333333333,129.96666666666667,어선,29.0,POINT (129.96666666666667 35.53333333333333)
2011-12-15 06:20,부산,항계내,기타,기타,양호,2.0,10.0,0.0,0.0,남항 공동어시장 1번돌체,35.09444444444444,129.03472222222223,어선,57.0,POINT (129.03472222222223 35.09444444444444)
2011-12-15 05:50,울산,영해-EEZ,기관고장,정비불량,양호,1.0,4.0,0.0,0.0,울산 북구 정자 동방 30마일,35.63333333333333,130.0,어선,25.0,POINT (130 35.63333333333333)
2011-12-14 21:30,통영,영해,기타,운항부주의,양호,2.0,9.0,0.0,0.0,통영시 태도(이끼섬) 남서방 약 1마일해상,34.81666666666667,128.3,어선,9.77,POINT (128.3 34.81666666666667)
2011-12-14 17:50,평택,영해,기관고장,정비불량,양호,1.0,1.0,0.0,0.0,풍도 난지도 인근해상,37.09111111111111,126.4125,어선,7.9,POINT (126.4125 37.09111111111111)
2011-12-14 15:00,서귀포,영해-EEZ,기관고장,정비불량,양호,1.0,9.0,0.0,0.0,제주 우도 남서방 18마일,33.3,127.25,어선,29.0,POINT (127.25 33.3)
2011-12-14 14:03,동해,항계내,침수,기타,양호,1.0,4.0,0.0,0.0,장호항내,37.28777777777778,129.31583333333333,어선,9.16,POINT (129.31583333333333 37.28777777777778)
2011-12-14 09:50,태안,영해,추진기장애,운항부주의,양호,1.0,1.0,0.0,0.0,호도 북서방 5마일 해상,36.35,126.15,어선,7.93,POINT (126.15 36.35)
2011-12-14 09:40,태안,영해,기관고장,정비불량,양호,1.0,2.0,0.0,0.0,울미도 인근 해상,36.6,126.16666666666667,어선,1.55,POINT (126.16666666666667 36.6)
2011-12-14 09:06,목포,항계내,좌초,운항부주의,양호,1.0,4.0,0.0,0.0,전남 목포시 서산동 수협위판장 앞 해상,34.766666666666666,126.36666666666666,어선,7.93,POINT (126.36666666666666 34.766666666666666)
2011-12-14 06:26,통영,영해-EEZ,충돌,운항부주의,양호,2.0,46.0,0.0,0.0,남해군 미조 백서 남동방 4.5마일 해상,34.55444444444444,128.025,화물선,64845.0,POINT (128.025 34.55444444444444)
2011-12-14 03:50,목포,영해,기관고장,관리소홀,양호,1.0,9.0,0.0,0.0,전남 신안군 흑산면 하태도 남방 6마일 해상,34.266666666666666,125.3,어선,69.0,POINT (125.3 34.266666666666666)
2011-12-13 16:30,제주,영해,충돌,운항부주의,양호,1.0,2.0,0.0,0.0,"33-42N, 126-20E(제주관탈서방 1마일)",33.7,126.33333333333333,어선,6.67,POINT (126.33333333333333 33.7)
2011-12-12 08:57,통영,항계내,타기고장,정비불량,양호,1.0,2.0,0.0,0.0,욕지 두미도 등대 앞 해상,34.72694444444444,128.17166666666665,어선,2.99,POINT (128.17166666666665 34.72694444444444)
2011-12-11 21:40,울산,영해,충돌,운항부주의,양호,2.0,13.0,0.0,0.0,대변동방 6마일 해상,35.233333333333334,129.35,어선,75.0,POINT (129.35 35.233333333333334)
2011-12-11 01:40,포항,영해-EEZ,충돌,운항부주의,양호,2.0,19.0,0.0,0.0,감포 동방 66마일,35.825,130.86666666666667,어선,29.0,POINT (130.86666666666667 35.825)
2011-12-10 15:00,서귀포,공해,기관고장,정비불량,황천4급,1.0,10.0,0.0,0.0,서귀포 남서 345마일,28.0,123.66666666666667,어선,29.0,POINT (123.66666666666667 28)
2011-12-10 12:26,통영,항계내,추진기장애,운항부주의,양호,1.0,2.0,0.0,0.0,통영시 산양읍 곤리도 앞 해상,34.78388888888889,128.3713888888889,어선,2.7,POINT (128.3713888888889 34.78388888888889)
2011-12-10 07:30,서귀포,공해,기관고장,정비불량,황천4급,1.0,9.0,0.0,0.0,서귀포 남서 350마일,27.883333333333333,123.88333333333334,어선,29.0,POINT (123.88333333333334 27.883333333333333)
2011-12-10 05:30,목포,EEZ 30마일 이내,추진기장애,운항부주의,양호,1.0,10.0,0.0,0.0,전남 신안군 흑산면 가거도 남서 45마일,33.4,124.61666666666666,어선,79.0,POINT (124.61666666666666 33.4)
2011-12-09 04:25,부산,영해,화재,정비불량,풍랑주의보,1.0,4.0,0.0,0.0,남형제도 서방 3마일(34-53N 128-53E),34.88333333333333,128.88333333333333,유조선,190.0,POINT (128.88333333333333 34.88333333333333)
2011-12-08 20:44,목포,영해,좌초,운항부주의,황천5급,1.0,3.0,0.0,0.0,전남 해남군 임하도 남방 2마일,34.58305555555555,126.28805555555556,예부선,67.0,POINT (126.28805555555556 34.58305555555555)
2011-12-08 16:12,울산,항계내,충돌,운항부주의,황천5급,2.0,37.0,0.0,0.0,울산항 E-3묘지,35.416666666666664,129.45138888888889,화물선,3851.0,POINT (129.45138888888889 35.416666666666664)
2011-12-08 10:35,포항,영해,침수,적재불량,양호,1.0,0.0,0.0,0.0,구룡포읍 소재 활어위판장 부두 앞 10미터,35.99027777777778,129.55666666666667,어선,99.0,POINT (129.55666666666667 35.99027777777778)
2011-12-08 06:29,부산,영해,기관고장,정비불량,양호,1.0,3.0,0.0,0.0,수영만 남동방 7마일,35.11194444444445,129.31472222222223,어선,7.93,POINT (129.31472222222223 35.11194444444445)
2011-12-08 02:45,포항,영해,좌초,운항부주의,양호,1.0,7.0,0.0,0.0,호미곶 남동방 10마일,35.916111111111114,129.53861111111112,어선,22.0,POINT (129.53861111111112 35.916111111111114)
2011-12-08 02:16,동해,영해-EEZ,화재,기타,황천4급,1.0,8.0,0.0,0.0,독도동방21마일,37.18333333333333,132.3,어선,46.0,POINT (132.3 37.18333333333333)
2011-12-07 17:40,통영,항계내,기관고장,정비불량,양호,1.0,2.0,0.0,0.0,통영시 사량면 사량도 상도 서방 농개도-돈지포 해상,34.83833333333333,128.1675,어선,2.99,POINT (128.1675 34.83833333333333)
2011-12-07 07:10,부산,항계내,기타,운항부주의,양호,2.0,11.0,0.0,0.0,영도대교 소형선박 출입항로(영도대교 공사현장),35.102777777777774,129.0388888888889,기타,70.0,POINT (129.0388888888889 35.102777777777774)
2011-12-06 20:45,목포,협수로,추진기장애,운항부주의,양호,1.0,3.0,0.0,0.0,전남 신안군 임자면 대허사도 남동 1.4마일,35.083333333333336,125.91666666666667,어선,46.0,POINT (125.91666666666667 35.083333333333336)
2011-12-06 16:00,평택,영해,기관고장,정비불량,양호,1.0,6.0,0.0,0.0,충남 당진군 석문면 교로리 당진화력 북서방,37.051944444444445,126.49305555555556,모터보트,1.3,POINT (126.49305555555556 37.051944444444445)
2011-12-06 07:07,목포,협수로,침수,기타,양호,1.0,2.0,0.0,0.0,전남 신안군 불무기도 북동방 1마일,34.766666666666666,126.23333333333333,어선,4.97,POINT (126.23333333333333 34.766666666666666)
2011-12-06 01:40,여수,영해,충돌,운항부주의,양호,2.0,21.0,4.0,0.0,여수시 삼산면 백도 남방,33.78333333333333,127.6,어선,79.0,POINT (127.6 33.78333333333333)
2011-12-05 20:05,목포,영해,전복,적재불량,양호,1.0,4.0,0.0,1.0,전남 신안군 만재도 북동 4.7마일,34.28333333333333,125.5,어선,9.77,POINT (125.5 34.28333333333333)
2011-12-05 06:50,동해,영해,기관고장,기타,양호,1.0,1.0,0.0,0.0,동해항 동방 12마일,37.53333333333333,129.4,어선,3.59,POINT (129.4 37.53333333333333)
2011-12-05 05:45,부산,영해,기타,운항부주의,양호,2.0,20.0,0.0,0.0,부산 생도 남방 2.7마일(34-59.34N 129-06.00E),34.992777777777775,129.1,화물선,3026.0,POINT (129.1 34.992777777777775)
2011-12-04 23:30,목포,영해-EEZ,기관고장,관리소홀,양호,1.0,10.0,0.0,0.0,전남 신안군 흑산면 가거도 남서 10마일,33.95,124.88333333333334,어선,29.0,POINT (124.88333333333334 33.95)
2011-12-04 22:35,목포,영해-EEZ,충돌,운항부주의,황천5급,1.0,9.0,0.0,0.0,신안군 가거도 북서 9마일 해상,34.2,124.96666666666667,어선,39.0,POINT (124.96666666666667 34.2)
2011-12-04 16:35,제주,영해,기관고장,정비불량,황천5급,1.0,6.0,0.0,0.0,제주북서방 18마일,33.68333333333333,126.23333333333333,어선,19.0,POINT (126.23333333333333 33.68333333333333)
2011-12-04 16:20,평택,영해,기관고장,정비불량,양호,1.0,6.0,0.0,0.0,입파도 북동방 2마일,37.11888888888889,126.56694444444445,모터보트,1.0,POINT (126.56694444444445 37.11888888888889)
2011-12-04 14:55,평택,영해,기관고장,정비불량,양호,1.0,0.0,0.0,0.0,입파도 북동방 2마일,37.11083333333333,126.67916666666666,모터보트,2.0,POINT (126.67916666666666 37.11083333333333)
2011-12-04 06:25,태안,영해,침수,정비불량,양호,1.0,12.0,0.0,0.0,태안군 근흥면 목개도 남서방 1마일 해상,36.658611111111114,126.135,낚시어선,5.78,POINT (126.135 36.658611111111114)
2011-12-03 11:18,목포,영해,기타,운항부주의,풍랑주의보,2.0,33.0,0.0,0.0,전남 신안군 흑산면 가거도 남방 4마일,34.00555555555555,125.16944444444445,화물선,33218.0,POINT (125.16944444444445 34.00555555555555)
2011-12-03 11:00,태안,영해,타기고장,정비불량,황천5급,1.0,9.0,0.0,0.0,외연도 서방 3마일 해상,36.18333333333333,126.0,낚시어선,5.21,POINT (126 36.18333333333333)
2011-12-02 16:30,부산,항계내,충돌,운항부주의,풍랑주의보,2.0,23.0,0.0,0.0,부산 남외항 N-3묘박지,35.07222222222222,129.05277777777778,어선,139.0,POINT (129.05277777777778 35.07222222222222)
2011-12-02 14:00,포항,영해-EEZ,기관고장,재질불량,양호,1.0,9.0,0.0,0.0,오산 동방 97마일,36.916666666666664,131.43333333333334,어선,94.0,POINT (131.43333333333334 36.916666666666664)
2011-12-02 13:30,부산,항계내,화재,기타,황천5급,1.0,4.0,0.0,0.0,남부민동 금양제빙 1공장 앞(35-05.65N 129-01.55E),35.10138888888889,129.03194444444443,어선,139.0,POINT (129.03194444444443 35.10138888888889)
2011-12-02 07:30,목포,항계내,표류,연료고갈,양호,1.0,5.0,0.0,0.0,전남 영광군 홍농읍 계마항 앞 3미터 해상,35.38333333333333,126.4,어선,1.2,POINT (126.4 35.38333333333333)
2011-12-01 17:38,태안,영해,기관고장,정비불량,양호,1.0,4.0,0.0,0.0,병풍도 북서방 1마일 해상,36.65,125.71666666666667,어선,3.57,POINT (125.71666666666667 36.65)
2011-12-01 16:40,인천,영해,침수,운항부주의,양호,1.0,2.0,0.0,0.0,굴업도 서방 7마일,37.1975,125.64611111111111,어선,13.0,POINT (125.64611111111111 37.1975)
2011-12-01 16:21,통영,항계내,타기고장,정비불량,양호,1.0,2.0,0.0,0.0,통영시 한산면 용초도 북방 0.2마일해상,34.75694444444444,128.49722222222223,어선,3.51,POINT (128.49722222222223 34.75694444444444)
2011-11-30 06:07,울산,항계내,화재,관리소홀,황천4급,1.0,1.0,0.0,0.0,부산시 기장군 대변항 내,35.15,129.23333333333332,어선,1.98,POINT (129.23333333333332 35.15)
2011-11-30 01:15,목포,영해,좌초,운항부주의,양호,1.0,9.0,0.0,0.0,전남 신안군 신의면 고사도 남서 1마일,34.570277777777775,126.15861111111111,어선,72.0,POINT (126.15861111111111 34.570277777777775)
2011-11-29 19:07,제주,영해-EEZ,충돌,운항부주의,양호,1.0,12.0,0.0,0.0,"33-49 N, 125-45E(차귀도 북서방 36마일)",33.81666666666667,125.75,어선,29.0,POINT (125.75 33.81666666666667)
2011-11-29 18:40,태안,영해,기관고장,정비불량,양호,1.0,2.0,0.0,0.0,가덕도 남동방 8.5마일,36.93333333333333,125.98333333333333,어선,20.0,POINT (125.98333333333333 36.93333333333333)
2011-11-29 12:35,목포,영해,기관고장,관리소홀,양호,1.0,11.0,0.0,0.0,전남 신안군 흑산면 가거도 남동 23마일,33.85,125.53333333333333,어선,85.0,POINT (125.53333333333333 33.85)
2011-11-29 07:26,제주,영해-EEZ,충돌,운항부주의,양호,2.0,22.0,0.0,0.0,"33-28 N, 125-05E(차귀도 서방 55마일)",33.46666666666667,125.08333333333333,어선,79.0,POINT (125.08333333333333 33.46666666666667)
2011-11-28 16:00,울산,영해-EEZ,기관고장,정비불량,양호,1.0,6.0,0.0,0.0,정자동방 21마일,35.63333333333333,129.9,어선,35.0,POINT (129.9 35.63333333333333)
2011-11-28 14:25,부산,영해,추진기장애,기타,양호,1.0,2.0,0.0,0.0,해운대 한화콘도 앞 해상,35.16388888888889,129.15333333333334,기타,0.0,POINT (129.15333333333334 35.16388888888889)
2011-11-28 09:36,통영,영해,기타,운항부주의,양호,2.0,12.0,0.0,0.0,통영 외부지도 서방 약 1.6마일 해상,34.70805555555555,128.3661111111111,어선,4.1,POINT (128.3661111111111 34.70805555555555)
2011-11-28 08:50,평택,영해,기관고장,정비불량,저시정,1.0,6.0,2.0,0.0,울도 남서방 13마일 해상,36.93333333333333,125.75,어선,7.93,POINT (125.75 36.93333333333333)
2011-11-28 08:12,포항,영해-EEZ,추진기장애,운항부주의,양호,1.0,7.0,0.0,0.0,강구 동방 80마일,36.333333333333336,131.08333333333334,어선,29.0,POINT (131.08333333333334 36.333333333333336)
2011-11-28 06:45,완도,영해,충돌,기상악화,양호,2.0,5.0,1.0,1.0,강진군 마량면 마량대교 음마동 동방 300m,34.44611111111111,126.84083333333334,낚시어선,1.94,POINT (126.84083333333334 34.44611111111111)
2011-11-28 03:29,통영,영해,표류,기타,양호,1.0,2.0,0.0,0.0,백서 북방 0.5마일 해상,34.639722222222225,128.01666666666668,어선,4.99,POINT (128.01666666666668 34.639722222222225)
2011-11-27 22:06,서귀포,영해,추진기장애,정비불량,황천5급,1.0,1.0,0.0,0.0,서귀포 남원항 남동 0.74마일,33.27777777777778,126.73333333333333,어선,2.9,POINT (126.73333333333333 33.27777777777778)
